id,fecha,usuario,nombre,texto,likes,retweets,respuestas,vistas,es_verificado,url,hashtags,num_respuestas_descargadas
974305750817431552,2018-03-15T15:26:07Z,denaona,Bar Rest. Dena Ona,"Jueves de tapas en #denaona el mejor restaurant de comida espaÑola en El Rosal, Chacao. !te esperamos! #chistorras #tapas #felizjueves #demasiadobueno #divino #casiviernes #gentebella #Goodtimes https://pbs.twimg.com/media/DYVtkaVWkAArb1K.png",0,0,0,0,False,https://twitter.com/denaona/status/974305750817431552,"denaona,chistorras,tapas,felizjueves,demasiadobueno,divino,casiviernes,gentebella,Goodtimes",0
974302168336490506,2018-03-15T15:11:53Z,denaona,Bar Rest. Dena Ona,"Jueves de tapas en #denaona el mejor restaurant de comida espaÑola en El Rosal, Chacao. !te esperamos! #chistorras #tapas #felizjueves #demasiadobueno #divino #casiviernes #gentebella #goodtimes https://pbs.twimg.com/media/DYVp-UbX4AA7mUS.png",1,1,0,0,False,https://twitter.com/denaona/status/974302168336490506,"denaona,chistorras,tapas,felizjueves,demasiadobueno,divino,casiviernes,gentebella,goodtimes",0
973634850883276801,2018-03-13T19:00:12Z,BelleVueCaracas,BelleVueCaracas,¿Ya probaste nuestra refrescante y dulce sangría #BelleVue? ¡Pídela y acompáñala con una ración de #chistorras! https://pbs.twimg.com/media/DYMLvGJWkAADk32.jpg,0,0,0,0,False,https://twitter.com/BelleVueCaracas/status/973634850883276801,"BelleVue,chistorras",0
972839824972566529,2018-03-11T14:21:03Z,Brisa_de_espana,Brisa de España,Chistorras-Thin Spanish Sausages in wine are one of my favourite appetizers #chistorras #appetizzer #spanishdelicatessen #chistorrasalvino #tapas #spanishfood #spanishappetizers #brisadeespaña #spanishrestaurantmiami #foodart #foodlover #instafood #spanishpottery #regasceramicas https://pbs.twimg.com/media/DYA4qMmVwAMR4v-.jpg,0,3,0,0,False,https://twitter.com/Brisa_de_espana/status/972839824972566529,"chistorras,appetizzer,spanishdelicatessen,chistorrasalvino,tapas,spanishfood,spanishappetizers,brisadeespaña,spanishrestaurantmiami,foodart,foodlover,instafood,spanishpottery,regasceramicas",0
971912503008653312,2018-03-09T00:56:12Z,ilovecumbayork,I LOVE CUMBAYORK,Deliciosas #chistorras de #LosRosales que los esperan para celebrar a nuestras mujeres por su día #ilovecumbayork https://fb.me/1QkzmICoT,0,0,0,0,False,https://twitter.com/ilovecumbayork/status/971912503008653312,"chistorras,LosRosales,ilovecumbayork",0
966051039458840577,2018-02-20T20:44:50Z,PirineusBR,Pirineus Embutidos,chistorras a caminho.... #txistorras #chistorras #embutidosespanhóis #charcutaria #xarcuteria #charcutariaartesanal http://ift.tt/2BHeS0z https://pbs.twimg.com/media/DWgaTPhXcAE_87H.jpg,1,0,0,0,False,https://twitter.com/PirineusBR/status/966051039458840577,"txistorras,chistorras,embutidosespanhóis,charcutaria,xarcuteria,charcutariaartesanal",0
965089068391559168,2018-02-18T05:02:19Z,AndrecoG,Andrés Gómez,"#chistorras 
#amigos en Miami, Florida https://www.instagram.com/p/BfU1jL6Hr4B/",0,0,0,0,False,https://twitter.com/AndrecoG/status/965089068391559168,"chistorras,amigos",0
959823896647274497,2018-02-03T16:20:24Z,denaona,Bar Rest. Dena Ona,#tapas #chistorras  #almuerzofamiliar #felizsabado  #sabadodetapas #entradas #nenu #cheflife #demasiadobueno #divino #teprovoca #buenapetito #chacao #elrosal #restaurant #bar #gentebella #Goodtimes https://pbs.twimg.com/media/DVH52SXW0AA7L3F.png,0,0,0,0,False,https://twitter.com/denaona/status/959823896647274497,"tapas,chistorras,almuerzofamiliar,felizsabado,sabadodetapas,entradas,nenu,cheflife,demasiadobueno,divino,teprovoca,buenapetito,chacao,elrosal,restaurant,bar,gentebella,Goodtimes",0
959406569728471042,2018-02-02T12:42:05Z,Tequefrench,TEQUEFRENCH®,#BuenViernes de #tequeños de #chistorras con cervezas bien frías y la música del grupo matices. Te esperamos. #tequefrench #barquisimeto #food #foodies #venezuela https://pbs.twimg.com/media/DVB-iRtXUAArd9a.jpg,0,0,0,0,False,https://twitter.com/Tequefrench/status/959406569728471042,"BuenViernes,tequeños,chistorras,tequefrench,barquisimeto,food,foodies,venezuela",0
958646022959398914,2018-01-31T10:19:57Z,chefRoly,Rolysuarez,#Migas #Brasileñas con #Chistorras En Mi #PequeñaGranCocina Chef #RolySuarez,0,0,0,0,False,https://twitter.com/chefRoly/status/958646022959398914,"Migas,Brasileñas,Chistorras,PequeñaGranCocina,RolySuarez",0
